iter	Logloss
0	0.5504568607
1	0.4625410621
2	0.4057071475
3	0.3704329427
4	0.3455348695
5	0.3290959666
6	0.3169867854
7	0.3090131836
8	0.3021213805
9	0.2966800595
10	0.2926607453
11	0.289398298
12	0.2865059136
13	0.2842591611
14	0.2824410885
15	0.2807674929
16	0.2795536877
17	0.2784112413
18	0.2774688198
19	0.2767031172
20	0.2759612398
21	0.2753766199
22	0.2747925425
23	0.2743542752
24	0.273957597
25	0.2735598338
26	0.2732034893
27	0.2729425223
28	0.2726844463
29	0.272496675
30	0.2722890082
31	0.2720873636
32	0.2719241691
33	0.27176106
34	0.2716065383
35	0.271448901
36	0.2713183594
37	0.2712293372
38	0.2710975012
39	0.2710098509
40	0.2709010882
41	0.2708241257
42	0.2706836015
43	0.2705984546
44	0.2705106027
45	0.2704448862
46	0.2703881216
47	0.2703373636
48	0.2702759874
49	0.2702393896
50	0.2701893524
51	0.270144415
52	0.2700926727
53	0.2700417907
54	0.2700054796
55	0.2699608057
56	0.2699207047
57	0.2698764261
58	0.2698020058
59	0.2697654002
60	0.2697399321
61	0.26968719
62	0.2695951296
63	0.2695716301
64	0.2695153072
65	0.2694896763
66	0.2694623713
67	0.2693918728
68	0.2693608708
69	0.2693170418
70	0.2692913024
71	0.2692638036
72	0.2692416295
73	0.2692053571
74	0.2691299991
75	0.2691024848
76	0.2690439531
77	0.268984964
78	0.2689469014
79	0.2689146515
80	0.2687105035
81	0.2686816871
82	0.2686510882
83	0.2686253643
84	0.2685992529
85	0.2685371869
86	0.2685091223
87	0.268484251
88	0.2684588139
89	0.268432904
90	0.2684122721
91	0.2683924929
92	0.2683652189
93	0.2682895663
94	0.2682657955
95	0.268159513
96	0.2681289373
97	0.2681082512
98	0.2680691654
99	0.2680016741
100	0.2679748651
101	0.2679287652
102	0.2679017625
103	0.2678573289
104	0.2678372706
105	0.2678095471
106	0.2677400484
107	0.2677094417
108	0.2676802765
109	0.2676518865
110	0.267613785
111	0.2675926572
112	0.2675632518
113	0.2675226314
114	0.2674232933
115	0.2673534459
116	0.2673268074
117	0.2672950071
118	0.2672703218
119	0.2672510851
120	0.2672100617
121	0.2671771841
122	0.2671515997
123	0.2671096308
124	0.2670896732
125	0.2670553773
126	0.2669996745
127	0.2669550316
128	0.2669327102
