iter	Passed	Remaining
399	45021	67532
400	45114	67390
401	45208	67251
402	45301	67109
403	45393	66967
404	45490	66831
405	45590	66700
406	45676	66551
407	45769	66410
408	45865	66274
409	45951	66125
410	46048	65991
411	46187	65917
412	46291	65794
413	46382	65652
414	46476	65515
415	46568	65375
416	46673	65252
417	46778	65131
418	46885	65012
419	46982	64880
420	47081	64750
421	47177	64618
422	47271	64481
423	47366	64346
424	47453	64202
425	47543	64060
426	47626	63910
427	47715	63768
428	47810	63636
429	47900	63496
430	47989	63355
431	48153	63312
432	48311	63262
433	48444	63179
434	48646	63184
435	48799	63125
436	48897	62995
437	48987	62855
438	49078	62717
439	49171	62581
440	49272	62457
441	49363	62319
442	49453	62179
443	49558	62060
444	49695	61979
445	49837	61905
446	49995	61851
447	50265	61934
448	50437	61895
449	50546	61778
450	50661	61670
451	50794	61583
452	50904	61466
453	51005	61341
454	51111	61221
455	51217	61101
456	51308	60964
457	51407	60835
458	51494	60693
459	51584	60555
460	51672	60415
461	51761	60276
462	51854	60141
463	51956	60018
464	52044	59879
465	52137	59745
466	52230	59612
467	52321	59476
468	52423	59353
469	52526	59232
470	52613	59092
471	52708	58962
472	52806	58835
473	52899	58702
474	53029	58611
475	53126	58483
476	53221	58354
477	53306	58213
478	53407	58090
479	53502	57961
480	53599	57833
481	53698	57708
482	53855	57646
483	53960	57528
484	54077	57422
485	54163	57284
486	54257	57153
487	54486	57165
488	54602	57058
489	54718	56952
490	54834	56844
491	54951	56738
492	55125	56691
493	55268	56611
494	55345	56463
495	55439	56334
496	55534	56204
497	55633	56080
498	55729	55953
499	55820	55820
500	55911	55688
501	56081	55634
502	56194	55524
503	56281	55388
504	56395	55278
505	56501	55161
506	56594	55031
507	56698	54913
508	56802	54794
509	56892	54661
510	57007	54553
511	57150	54471
512	57283	54380
513	57401	54274
514	57516	54166
515	57607	54034
516	57703	53908
517	57826	53807
518	57915	53674
519	58036	53572
520	58136	53449
521	58267	53356
522	58366	53232
523	58444	53090
524	58543	52967
525	58627	52832
526	58724	52707
527	58819	52581
528	58916	52456
529	59005	52325
530	59095	52195
531	59188	52067
532	59282	51941
533	59385	51823
534	59488	51704
535	59588	51584
536	59699	51473
537	59801	51353
538	59903	51234
539	59992	51104
540	60085	50978
541	60182	50854
542	60278	50731
543	60372	50606
544	60476	50489
545	60565	50360
546	60664	50239
547	60754	50111
548	60846	49984
549	60948	49866
550	61038	49739
551	61126	49610
552	61216	49482
553	61323	49368
554	61425	49250
555	61540	49143
556	61642	49025
557	61753	48915
558	61864	48805
559	61987	48704
560	62100	48595
561	62212	48485
562	62321	48373
563	62432	48263
564	62534	48145
565	62644	48034
566	62738	47911
567	62832	47788
568	62928	47666
569	63024	47544
570	63125	47427
571	63220	47304
572	63317	47184
573	63413	47062
574	63497	46933
575	63592	46811
576	63684	46687
577	63776	46563
578	63862	46435
579	63957	46313
580	64050	46191
581	64189	46101
582	64280	45977
583	64373	45855
584	64462	45729
585	64549	45603
586	64645	45483
587	64738	45361
588	64824	45234
589	64918	45112
590	65012	44991
591	65110	44873
592	65216	44760
593	65310	44639
594	65396	44513
595	65487	44391
596	65583	44271
597	65668	44145
598	65855	44086
599	65949	43966
600	66041	43844
601	66131	43721
602	66225	43601
603	66351	43501
604	66457	43389
605	66564	43278
606	66657	43157
607	66756	43040
608	66860	42927
609	66951	42804
610	67045	42685
611	67139	42565
612	67241	42450
613	67352	42342
614	67467	42235
615	67577	42126
616	67674	42008
617	67763	41886
618	67869	41774
619	67965	41656
620	68055	41534
621	68154	41418
622	68244	41297
623	68333	41175
624	68429	41057
625	68517	40935
626	68639	40833
627	68744	40721
628	68836	40601
629	68912	40472
630	69016	40359
631	69111	40242
632	69203	40123
633	69302	40007
634	69409	39896
635	69507	39781
636	69601	39663
637	69693	39543
638	69780	39422
639	69904	39321
640	70008	39209
641	70129	39106
642	70231	38993
643	70336	38881
644	70430	38763
645	70518	38643
646	70624	38532
647	70716	38413
648	70822	38303
649	70912	38183
650	71009	38068
651	71120	37960
652	71451	37968
653	72021	38103
654	72257	38059
655	72448	37991
656	72649	37927
657	72909	37895
658	73067	37808
659	73197	37707
660	73329	37607
661	73447	37500
662	73686	37454
663	73867	37378
664	74100	37328
665	74294	37258
666	74445	37166
667	74683	37118
668	74836	37026
669	74959	36920
670	75068	36806
671	75188	36699
672	75306	36590
673	75395	36467
674	75500	36352
675	75619	36243
676	75739	36135
677	75845	36021
678	75940	35901
679	76040	35783
680	76141	35667
681	76248	35552
682	76359	35440
683	76466	35326
684	76594	35222
685	76726	35119
686	76840	35008
687	76955	34898
688	77079	34792
689	77196	34682
690	77324	34577
691	77447	34470
692	77598	34376
693	77714	34266
694	77927	34198
695	78050	34090
696	78171	33982
697	78292	33874
698	78417	33767
699	78534	33657
700	78654	33548
701	78781	33442
702	78911	33338
703	79027	33227
704	79136	33113
705	79238	32997
706	79339	32880
707	79443	32764
708	79551	32651
709	79686	32547
710	79816	32442
711	79944	32337
712	80121	32250
713	80245	32143
714	80360	32031
715	80482	31923
716	80604	31814
717	80723	31704
718	80844	31595
719	80958	31483
720	81083	31376
721	81228	31276
722	81358	31170
723	81490	31065
724	81609	30955
725	81716	30840
726	81827	30727
727	81945	30616
728	82073	30510
729	82190	30399
730	82321	30293
731	82426	30178
732	82541	30066
733	82654	29953
734	82768	29841
735	82878	29728
736	83008	29621
737	83138	29515
738	83258	29405
739	83382	29296
740	83481	29179
741	83573	29059
742	83672	28941
743	83755	28819
744	83845	28698
745	83945	28581
746	84037	28462
747	84135	28345
748	84266	28238
749	84355	28118
750	84463	28004
751	84557	27885
752	84651	27767
753	84739	27647
754	84828	27527
755	84992	27431
756	85155	27335
