iter	Logloss
0	0.5478891937
1	0.4673706583
2	0.4155752977
3	0.3853642277
4	0.3626903555
5	0.3481213107
6	0.3388362334
7	0.3314829582
8	0.3255613095
9	0.3213227389
10	0.3182574022
11	0.3158141453
12	0.3141965508
13	0.3127288136
14	0.3114671139
15	0.3098314646
16	0.3090273476
17	0.3084470708
18	0.3078448985
19	0.3073905125
20	0.3066244958
21	0.3063087378
22	0.3059972396
23	0.3056876836
24	0.3052334706
25	0.3048686231
26	0.304650284
27	0.3044554982
28	0.3042157023
29	0.3040730432
30	0.3039418489
31	0.303817376
32	0.3036734393
33	0.3035784985
34	0.3034567586
35	0.3033590073
36	0.3031997866
37	0.3030920339
38	0.3029945402
39	0.3029354602
40	0.3028440553
41	0.302747708
42	0.3026883106
43	0.3025984286
44	0.3025135416
45	0.3024708053
46	0.3024042874
47	0.3023194673
48	0.302272696
49	0.3022113176
50	0.302169652
51	0.3021162302
52	0.3020626154
53	0.3020259969
54	0.301975688
55	0.3019383175
56	0.3019039751
57	0.3018504534
58	0.301781331
59	0.3017299003
60	0.3016956489
61	0.3016503271
62	0.3016278328
63	0.3015756286
64	0.3015243757
65	0.301479763
66	0.3014442176
67	0.3014197351
68	0.3013473816
69	0.3013139829
70	0.3012911529
71	0.3012632193
72	0.3012184541
73	0.3011839177
74	0.3011221359
75	0.301100001
76	0.3010693515
77	0.301041118
78	0.3010091758
79	0.3009748535
80	0.3009357715
81	0.3008855165
82	0.3008345616
83	0.3008091232
84	0.3007642814
85	0.3007277708
86	0.3006951279
87	0.3006730116
88	0.3006415942
89	0.3006188625
90	0.3005886383
91	0.300542062
92	0.3005048745
93	0.3004711079
94	0.3004222642
95	0.300393652
96	0.3003477226
97	0.3003261384
98	0.3003025947
99	0.3002699811
100	0.3002341605
101	0.3001839468
102	0.3001542697
103	0.3001205605
104	0.3000875308
105	0.3000578727
106	0.3000153579
107	0.2999864385
108	0.2999593678
109	0.299935668
110	0.2999107618
111	0.2998859522
112	0.2998441033
113	0.2998166229
114	0.2997948265
115	0.2997689495
